currency,time,open,high,low,close,volume
LINKUSDT,1675589940.0,7.206,7.206,7.202,7.202,292.99
LINKUSDT,1675590060.0,7.202,7.203,7.202,7.203,923.43
LINKUSDT,1675590120.0,7.203,7.204,7.203,7.203,3806.01
