currency,time,open,high,low,close,volume
LTCUSDT,1675589940.0,98.56,98.57,98.53,98.56,11.864
LTCUSDT,1675590000.0,98.54,98.62,98.53,98.62,777.666
LTCUSDT,1675590060.0,98.64,98.64,98.58,98.61,88.019
LTCUSDT,1675590120.0,98.61,98.61,98.49,98.53,590.022
LTCUSDT,1675590180.0,98.53,98.56,98.5,98.56,47.319
LTCUSDT,1675590240.0,98.56,98.59,98.56,98.56,18.834
LTCUSDT,1675590300.0,98.59,98.66,98.59,98.65,86.828
LTCUSDT,1675590360.0,98.64,98.64,98.59,98.61,97.04
