currency,time,open,high,low,close,volume
THETAUSDT,1675589940.0,1.137,1.138,1.137,1.137,3695.7
THETAUSDT,1675590060.0,1.137,1.139,1.137,1.139,2110.2
THETAUSDT,1675590120.0,1.14,1.14,1.139,1.139,974.6
THETAUSDT,1675590180.0,1.138,1.141,1.138,1.141,2407.1
THETAUSDT,1675590240.0,1.14,1.14,1.14,1.14,2825.3
