currency,time,open,high,low,close,volume
ATOMUSDT,1675589940.0,14.621,14.621,14.608,14.609,383.4
ATOMUSDT,1675590000.0,14.607,14.608,14.587,14.596,6050.17
ATOMUSDT,1675590060.0,14.596,14.598,14.596,14.598,293.08
ATOMUSDT,1675590120.0,14.597,14.597,14.592,14.594,887.34
ATOMUSDT,1675590180.0,14.598,14.612,14.598,14.611,5457.74
ATOMUSDT,1675590240.0,14.612,14.613,14.608,14.609,409.78
ATOMUSDT,1675590300.0,14.609,14.612,14.602,14.603,382.39
ATOMUSDT,1675590360.0,14.602,14.602,14.59,14.59,2551.41
