currency,time,open,high,low,close,volume
TRXUSDT,1675589940.0,0.065,0.06501,0.06497,0.06498,204575.0
TRXUSDT,1675590000.0,0.06497,0.06503,0.06497,0.06503,221585.7
TRXUSDT,1675590060.0,0.06502,0.06505,0.06502,0.06504,290417.7
TRXUSDT,1675590120.0,0.06505,0.06507,0.06503,0.06506,354446.4
TRXUSDT,1675590180.0,0.06508,0.0651,0.06504,0.0651,589362.9
TRXUSDT,1675590240.0,0.0651,0.0651,0.06508,0.06508,23933.6
TRXUSDT,1675590300.0,0.06507,0.06509,0.06507,0.06508,36454.1
TRXUSDT,1675590360.0,0.06509,0.06511,0.06508,0.0651,344392.9
