currency,time,open,high,low,close,volume
IOSTUSDT,1675589940.0,0.01119,0.0112,0.01119,0.0112,392407.0
IOSTUSDT,1675590060.0,0.01119,0.0112,0.01119,0.0112,107736.0
IOSTUSDT,1675590180.0,0.0112,0.0112,0.01119,0.0112,181838.0
IOSTUSDT,1675590240.0,0.01121,0.01121,0.0112,0.0112,349323.0
IOSTUSDT,1675590300.0,0.0112,0.0112,0.0112,0.0112,60155.0
IOSTUSDT,1675590360.0,0.01119,0.01119,0.01118,0.01119,322698.0
