currency,time,open,high,low,close,volume
XRPUSDT,1675589940.0,0.4099,0.41,0.4098,0.4099,37812.0
XRPUSDT,1675590000.0,0.4098,0.4098,0.4096,0.4097,97295.0
XRPUSDT,1675590060.0,0.4096,0.4099,0.4096,0.4098,76472.0
XRPUSDT,1675590120.0,0.4099,0.4102,0.4098,0.4101,270078.0
XRPUSDT,1675590180.0,0.4101,0.4103,0.4101,0.4102,16014.0
XRPUSDT,1675590240.0,0.4103,0.4103,0.4102,0.4103,43581.0
XRPUSDT,1675590300.0,0.4103,0.4105,0.4103,0.4105,39411.0
XRPUSDT,1675590360.0,0.4105,0.4105,0.4102,0.4102,107685.0
