currency,time,open,high,low,close,volume
DOGEUSDT,1675589940.0,0.0954,0.0954,0.09512,0.09529,14430633.0
DOGEUSDT,1675590000.0,0.0953,0.09541,0.09523,0.09527,3315624.0
DOGEUSDT,1675590060.0,0.0953,0.0953,0.09527,0.0953,1476548.0
DOGEUSDT,1675590120.0,0.0953,0.0953,0.09525,0.09525,2069016.0
DOGEUSDT,1675590180.0,0.09526,0.0953,0.09517,0.0953,5074689.0
DOGEUSDT,1675590240.0,0.0953,0.09552,0.0953,0.09545,1956539.0
DOGEUSDT,1675590300.0,0.09549,0.09559,0.09549,0.09554,1087044.0
DOGEUSDT,1675590360.0,0.09554,0.09556,0.09549,0.09556,321358.0
