currency,time,open,high,low,close,volume
BTCUSDT,1675589940.0,23369.2,23371.06,23362.01,23363.76,159.6932
BTCUSDT,1675590000.0,23364.03,23366.57,23360.64,23362.56,87.83766
BTCUSDT,1675590060.0,23362.0,23365.24,23361.9,23361.9,86.82678
BTCUSDT,1675590120.0,23363.3,23369.65,23363.3,23367.54,105.34217
BTCUSDT,1675590180.0,23367.34,23376.85,23364.5,23375.76,124.7569
BTCUSDT,1675590240.0,23374.68,23375.55,23371.76,23372.76,74.13412
BTCUSDT,1675590300.0,23372.96,23377.71,23370.46,23371.99,84.25156
BTCUSDT,1675590360.0,23372.47,23372.65,23367.59,23371.98,72.85815
