currency,time,open,high,low,close,volume
ETHUSDT,1675589940.0,1666.65,1666.66,1665.81,1665.81,80.0172
ETHUSDT,1675590000.0,1665.81,1666.07,1665.69,1665.78,129.0634
ETHUSDT,1675590060.0,1665.79,1666.0,1665.78,1665.86,88.7493
ETHUSDT,1675590120.0,1665.87,1665.96,1665.8,1665.83,173.302
ETHUSDT,1675590180.0,1665.83,1667.19,1665.78,1667.19,175.6148
ETHUSDT,1675590240.0,1667.19,1667.19,1667.07,1667.07,100.833
ETHUSDT,1675590300.0,1667.08,1667.6,1667.07,1667.59,137.0924
ETHUSDT,1675590360.0,1667.6,1667.6,1667.15,1667.45,123.8415
